Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Aleurothrixus floccosus,woolly whitefly,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,invasive,105,1,41,20,,no data,no data,https://www.cabi.org/cpc/datasheet/4538; https://www.cabi.org/isc/datasheet/4538
Aleurotrachelus atratus,palm-infesting whitefly,Invertebrates,Full datasheet,Full datasheet,"invasiveSpecies,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,invasive,30,1,14,93,,,,https://www.cabi.org/cpc/datasheet/112108; https://www.cabi.org/isc/datasheet/112108
Aleurotuberculatus aucubae,Japanese laurel whitefly,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,12,1,9,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4129
Aleurotulus nephrolepidis,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,14,2,10,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/108915
Alexandrium leei,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,invasive,2,2,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/112109
Alexandrium minutum,,Protozoa,Full datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,invasive,36,2,24,0,,no data,,https://www.cabi.org/isc/datasheet/107755
Alexandrium tamarense,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,invasive,12,2,12,0,,no data,no data,https://www.cabi.org/isc/datasheet/112110
Alexandrium taylori,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112111
Aleyrodes proletella,cabbage whitefly,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aleyrodidae,,14,1,11,14,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4171
Alitta succinea,pile worm,Invertebrates,Full datasheet,,invasiveSpecies,Eukaryota,Metazoa,Annelida,Polychaeta,Aciculata,Nereididae,invasive,34,1,28,0,,no data,,https://www.cabi.org/isc/datasheet/107757
Allium atropurpureum,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,6,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/112115
Allium carinatum,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,6,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/112116
Allium paniculatum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,26,1,13,0,,no data,no data,https://www.cabi.org/isc/datasheet/112122
Allium subhirsutum,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,5,1,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/112128
Allium vineale,crow garlic,Plants,Full datasheet,Basic datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,13,1,11,0,,no data,no data,https://www.cabi.org/cpc/datasheet/4255; https://www.cabi.org/isc/datasheet/4255
Allium virus X,,Viruses,,Basic datasheet,pest,Virus,,,,Tymovirales,Alphaflexiviridae,,1,1,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118479
Allolobophora parva,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112135
Aloe latifolia,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Aloaceae,invasive,4,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112143
Aloe succotrina,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Aloaceae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/112146
Aloe vera,true aloe,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Aloaceae,invasive,101,1,27,0,,no data,,https://www.cabi.org/cpc/datasheet/4192; https://www.cabi.org/isc/datasheet/4192
Aloephagus myersi,aloe vera aphid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,6,1,5,0,,no data,no data,https://www.cabi.org/cpc/datasheet/4371
Alopecurus rendlei,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,9,1,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/112150
Alopecurus utriculatus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,13,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/112151
Aloysia citrodora,lemon verbena,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Lamiales,Verbenaceae,invasive,31,1,26,0,,no data,,https://www.cabi.org/cpc/datasheet/112152; https://www.cabi.org/isc/datasheet/112152
Alphitobius diaperinus,lesser mealworm,Invertebrates,,Full datasheet,"pest,vectorOfAnimalDisease",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,71,2,40,3,,,,https://www.cabi.org/cpc/datasheet/4385
Alphitobius laevigatus,black fungus beetle,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,45,2,19,4,,no data,no data,https://www.cabi.org/cpc/datasheet/4386
Alphitophagus bifasciatus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,invasive,5,1,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/112153
Alstroemeria aurea,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Alstroemeriaceae,invasive,8,1,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/112154
Alternanthera philoxeroides,alligator weed,Plants,Full datasheet,Full datasheet,"pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,invasive,128,1,43,4,,no data,,https://www.cabi.org/cpc/datasheet/4403; https://www.cabi.org/isc/datasheet/4403
Alternaria alternata,alternaria leaf spot,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,128,2,52,270,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4480
Alternaria arborescens,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,6,1,4,12,no data,no data,no data,https://www.cabi.org/cpc/datasheet/120402
Alternaria citri,stalk end rot,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,63,1,26,11,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4491
Alternaria dianthicola,carnation petal blight,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,48,3,27,6,no data,,no data,https://www.cabi.org/cpc/datasheet/4499
Alternaria gaisen,black spot of Japanese pear,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,invasive,21,1,8,4,no data,,no data,https://www.cabi.org/cpc/datasheet/4511; https://www.cabi.org/isc/datasheet/4511
Alternaria japonica,pod spot of radish,Fungi/Chromista,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,invasive,74,3,30,34,,,,https://www.cabi.org/cpc/datasheet/4510; https://www.cabi.org/isc/datasheet/4510
Alternaria linicola,seedling blight of flax,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,14,1,9,1,no data,,no data,https://www.cabi.org/cpc/datasheet/4513
Alternaria macrospora,leaf spot: cotton,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,65,1,28,5,no data,,no data,https://www.cabi.org/cpc/datasheet/4516
Alternaria radicina,black rot of carrots,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,64,3,39,2,no data,,no data,https://www.cabi.org/cpc/datasheet/4524
Alternaria tenuissima,nailhead spot of tomato,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,55,1,23,68,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4530
Alternaria triticina,leaf blight of wheat,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,invasive,44,1,14,11,,,,https://www.cabi.org/cpc/datasheet/4534; https://www.cabi.org/isc/datasheet/4534
Alternariaster helianthi,leaf blight of sunflower,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,69,1,30,2,no data,,no data,https://www.cabi.org/cpc/datasheet/4505
Althaea longiflora,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Malvaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112165
Altica ampelophaga,"leaf beetle, Mediterranien grape",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,4,1,2,2,,no data,no data,https://www.cabi.org/cpc/datasheet/4542
Alyssum corsicum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,2,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112170
Alyssum scutigerum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,4,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112178
Alyssum wierzbickii,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Capparidales,Brassicaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112181
Amaranthus dubius,spleen amaranth,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Amaranthaceae,invasive,116,3,32,0,,,,https://www.cabi.org/cpc/datasheet/4646; https://www.cabi.org/isc/datasheet/4646
Amaryllis belladonna,,Plants,Basic datasheet,Basic datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,13,1,8,0,,no data,no data,https://www.cabi.org/cpc/datasheet/112201; https://www.cabi.org/isc/datasheet/112201
Amazona amazonica,orange winged parrot,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,invasive,10,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/94315
Ambloplites rupestris,rock bass,Vertebrates,Full datasheet,,"invasiveSpecies,naturalEnemy,hostAnimal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,invasive,42,2,19,0,,no data,,https://www.cabi.org/isc/datasheet/94435
Ambrosia tenuifolia,lacy ragweed,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,25,2,17,0,,no data,,https://www.cabi.org/cpc/datasheet/109862; https://www.cabi.org/isc/datasheet/109862
Ambystoma mexicanum,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Amphibia,Caudata,Ambystomatidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112205
Ameira divagans,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Amphibia,Caudata,Ambystomatidae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/112206
Ampelomyces quisqualis,hyperparasite of Erysiphaceae,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,12,1,10,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4955
Amphimallon solstitiale,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,12,3,10,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4854
Amphipyra pyramidea,copper underwing,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,9,1,9,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/4993
Amphitetranychus viennensis,hawthorn (spider) mite,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Arachnida,,Tetranychidae,,48,3,25,51,no data,,no data,https://www.cabi.org/cpc/datasheet/53368
Anatis ocellata,fifteen spotted forest lady beetle,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Coccinellidae,,9,1,9,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5166
Anchusa,Bugloss,Plants,,Basic datasheet,"crop,pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Boraginales,Boraginaceae,,3,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5233
Anchusa gmelinii,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Boraginales,Boraginaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112252
Andropogon virginicus,broomsedge,Plants,Full datasheet,Full datasheet,"crop,pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,62,1,29,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5286; https://www.cabi.org/isc/datasheet/5286
Anemone halleri,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Ranunculales,Ranunculaceae,invasive,10,1,10,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/116622
Angelica pachycarpa,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Apiales,Apiaceae,invasive,2,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/112271
Anguina agrostis,"nematode, bentgrass",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Anguinidae,,37,2,25,18,no data,,,https://www.cabi.org/cpc/datasheet/5386
Anguina tritici,wheat seed gall nematode,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Anguinidae,invasive,56,3,33,8,,,,https://www.cabi.org/cpc/datasheet/5388; https://www.cabi.org/isc/datasheet/5388
Anisodactylus binotatus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,invasive,10,1,8,0,,no data,no data,https://www.cabi.org/isc/datasheet/112274
Annona cherimola,cherimoya,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant,crop",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Annonales,Annonaceae,invasive,58,1,27,0,,no data,no data,https://www.cabi.org/cpc/datasheet/5806; https://www.cabi.org/isc/datasheet/5806
Anomala dubia,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,3,1,3,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5507
Anomia chinensis,Chinese jingle,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreoida,Anomiidae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112284
Anoplophora chinensis,black and white citrus longhorn,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,invasive,45,1,12,158,,,,https://www.cabi.org/cpc/datasheet/5556; https://www.cabi.org/isc/datasheet/5556
Anoplophora glabripennis,Asian longhorned beetle,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,invasive,43,2,10,52,,,no data,https://www.cabi.org/cpc/datasheet/5557; https://www.cabi.org/isc/datasheet/5557
Anredera cordifolia,Madeira vine,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Basellaceae,invasive,89,2,45,0,,no data,,https://www.cabi.org/isc/datasheet/112290
Anser canagicus,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,invasive,5,2,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/112291
Antaxius spinibrachius,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Tettigoniidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112292
Anthemis tomentosa,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112299
Anthemis triumfettii,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,18,1,12,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112300
Antheraea yamamai,"silk moth, Japanese",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Saturniidae,,10,1,8,2,,no data,no data,https://www.cabi.org/cpc/datasheet/5716
Anthocoris confusus,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Anthocoridae,,8,1,7,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5762
Anthonomus rectirostris,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,,1,1,1,1,,no data,no data,https://www.cabi.org/cpc/datasheet/5745
Anthriscus caucalis,bur chervil,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Apiales,Apiaceae,invasive,17,1,12,0,,no data,no data,https://www.cabi.org/isc/datasheet/112311
Antigastra catalaunalis,sesame webworm,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,,98,2,31,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5750
Antirrhinum siculum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Scrophulariales,Scrophulariaceae,invasive,3,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/112318
Antonina crawi,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pseudococcidae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112319
Antonina graminis,rhodes grass scale,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Pseudococcidae,,21,1,10,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5760
Anystis baccarum,whirligig mite,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Arachnida,,Anystidae,,21,1,16,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5843
Anystis wallacei,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Arachnida,,Anystidae,,7,1,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5846
Aonidiella aurantii,red scale,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,invasive,155,2,46,38,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5849; https://www.cabi.org/isc/datasheet/5849
Aonidiella citrina,yellow scale,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,79,1,31,36,no data,no data,no data,https://www.cabi.org/cpc/datasheet/5850
Apate monachus,black borer,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Bostrichidae,,42,1,12,56,,no data,no data,https://www.cabi.org/cpc/datasheet/6071
Apera spica-venti,loose silkybent grass,Plants,,Basic datasheet,"pest,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,,8,1,7,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/93097
Aphaenogaster senilis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,invasive,6,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112333
Aphanes australis,,Plants,Basic datasheet,Basic datasheet,"pest,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Rosaceae,invasive,8,1,7,0,,no data,no data,https://www.cabi.org/cpc/datasheet/112334; https://www.cabi.org/isc/datasheet/112334
Aphanomyces euteiches,Aphanomyces root rot,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae,,40,2,26,10,no data,,no data,https://www.cabi.org/cpc/datasheet/6408
Aphanomyces raphani,black root: radish,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Chromista,Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae,,2,1,1,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6411
Aphelenchoides besseyi,rice leaf nematode,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Nematoda,,Aphelenchida,Aphelenchoididae,invasive,140,1,42,24,no data,,,https://www.cabi.org/cpc/datasheet/6378; https://www.cabi.org/isc/datasheet/6378
Aphelenchoides ritzemabosi,Chrysanthemum foliar eelworm,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Nematoda,,Aphelenchida,Aphelenchoididae,invasive,48,2,32,61,no data,,,https://www.cabi.org/cpc/datasheet/6384; https://www.cabi.org/isc/datasheet/6384
Aphis chloris,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,7,1,4,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6191
Aphis fabae cirsiiacanthoidis,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,3,2,3,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6189
Aphis fabae mordvilkoi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,4,1,3,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6199
Aphis fabae solanella,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,9,1,6,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6202
Aphis forbesi,strawberry aphid,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,11,2,11,2,,no data,no data,https://www.cabi.org/cpc/datasheet/6200
Aphis grossulariae,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,5,1,5,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6205
Aphis oenotherae,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,invasive,10,2,10,0,,no data,no data,https://www.cabi.org/isc/datasheet/112341
Aphis sambuci,elder aphid,Invertebrates,,Basic datasheet,"pest,naturalEnemy,vectorOfPlantPest",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,6,2,6,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/6219
Aphis spiraecola,Spirea aphid,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,vectorOfPlantPest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,invasive,221,2,84,62,,,no data,https://www.cabi.org/cpc/datasheet/6221; https://www.cabi.org/isc/datasheet/6221
