taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
7640138,Linaria reflexa,Csa,Hot-summer Mediterranean climate,143,176,0.8125,2076-2100-A1FI
7622027,Nonea pallens,Csa,Hot-summer Mediterranean climate,78,140,0.5571428571428572,2076-2100-A1FI
5287984,Fascicularia bicolor,Cfb,Temperate oceanic climate,109,171,0.6374269005847953,2071-2100_Beck
5287984,Fascicularia bicolor,Cfb,Temperate oceanic climate,109,171,0.6374269005847953,2001-2025-A1FI
5287984,Fascicularia bicolor,Cfb,Temperate oceanic climate,109,171,0.6374269005847953,2026-2050-A1FI
5287984,Fascicularia bicolor,Cfb,Temperate oceanic climate,109,171,0.6374269005847953,2051-2075-A1FI
5329014,Sagittaria subulata,Cfa,Humid subtropical climate,48,183,0.26229508196721313,2071-2100_Beck
5329014,Sagittaria subulata,Cfb,Temperate oceanic climate,64,183,0.34972677595628415,2071-2100_Beck
5329014,Sagittaria subulata,Cfb,Temperate oceanic climate,64,183,0.34972677595628415,2001-2025-A1FI
5329014,Sagittaria subulata,Cfb,Temperate oceanic climate,64,183,0.34972677595628415,2026-2050-A1FI
5329014,Sagittaria subulata,Cfa,Humid subtropical climate,48,183,0.26229508196721313,2051-2075-A1FI
5329014,Sagittaria subulata,Cfb,Temperate oceanic climate,64,183,0.34972677595628415,2051-2075-A1FI
5329014,Sagittaria subulata,Cfa,Humid subtropical climate,48,183,0.26229508196721313,2076-2100-A1FI
2888976,Rumex frutescens,Cfb,Temperate oceanic climate,128,146,0.8767123287671232,2071-2100_Beck
2888976,Rumex frutescens,Cfb,Temperate oceanic climate,128,146,0.8767123287671232,2001-2025-A1FI
2888976,Rumex frutescens,Cfb,Temperate oceanic climate,128,146,0.8767123287671232,2026-2050-A1FI
2888976,Rumex frutescens,Cfb,Temperate oceanic climate,128,146,0.8767123287671232,2051-2075-A1FI
2653284,Ephedra altissima,Csa,Hot-summer Mediterranean climate,86,135,0.6370370370370371,2076-2100-A1FI
7740323,Antirrhinum siculum,Csa,Hot-summer Mediterranean climate,139,163,0.852760736196319,2076-2100-A1FI
3642262,Daucus broteri,Csa,Hot-summer Mediterranean climate,91,96,0.9479166666666666,2076-2100-A1FI
5667801,Pinguicula crystallina,Csa,Hot-summer Mediterranean climate,18,34,0.5294117647058824,2076-2100-A1FI
